vehicleId,tripId,timeUnix,outdoorTemperature,temperatureRotorFront,temperatureRotorBack,velocity
3659478-10880825,3659478-10880825-1,1630507083000,25.5,34.0,44.0,56.0
3659478-10880825,3659478-10880825-1,1630507084000,25.5,34.0,44.0,56.08
3659478-10880825,3659478-10880825-1,1630507085000,25.5,34.0,44.0,56.24
3659478-10880825,3659478-10880825-1,1630507086000,25.5,34.0,44.0,56.48
3659478-10880825,3659478-10880825-1,1630507087000,25.5,34.0,44.0,56.77
3659478-10880825,3659478-10880825-1,1630507088000,25.5,34.0,44.0,57.16
3659478-10880825,3659478-10880825-1,1630507089000,25.5,34.0,44.0,57.61
3659478-10880825,3659478-10880825-1,1630507090000,25.5,34.0,44.0,58.11
3659478-10880825,3659478-10880825-1,1630507091000,25.5,34.0,44.0,58.65
3659478-10880825,3659478-10880825-1,1630507092000,25.5,34.0,44.0,59.18
3659478-10880825,3659478-10880825-1,1630507093000,25.5,34.0,44.0,59.74
3659478-10880825,3659478-10880825-1,1630507094000,25.5,34.0,44.0,60.08
3659478-10880825,3659478-10880825-1,1630507095000,25.5,34.0,44.0,60.1
3659478-10880825,3659478-10880825-1,1630507096000,25.5,34.0,44.0,60.13
3659478-10880825,3659478-10880825-1,1630507097000,25.5,34.0,44.0,60.12
3659478-10880825,3659478-10880825-1,1630507098000,25.5,34.0,44.0,59.28
3659478-10880825,3659478-10880825-1,1630507099000,25.5,34.0,44.0,54.74
3659478-10880825,3659478-10880825-1,1630507100000,25.5,34.0,44.0,49.17
3659478-10880825,3659478-10880825-1,1630507101000,25.5,34.0,44.0,42.55
3659478-10880825,3659478-10880825-1,1630507102000,25.0,35.0,44.0,33.5
3659478-10880825,3659478-10880825-1,1630507103000,25.0,35.0,45.0,23.03
3659478-10880825,3659478-10880825-1,1630507104000,25.0,35.0,45.0,13.52
3659478-10880825,3659478-10880825-1,1630507105000,25.0,35.0,45.0,6.69
3659478-10880825,3659478-10880825-1,1630507106000,25.0,35.0,45.0,4.31
3659478-10880825,3659478-10880825-1,1630507107000,25.0,35.0,45.0,7.47
3659478-10880825,3659478-10880825-1,1630507108000,25.0,35.0,45.0,16.49
3659478-10880825,3659478-10880825-1,1630507109000,25.0,36.0,45.0,22.86
3659478-10880825,3659478-10880825-1,1630507110000,25.0,36.0,45.0,25.47
3659478-10880825,3659478-10880825-1,1630507111000,25.0,36.0,45.0,28.45
3659478-10880825,3659478-10880825-1,1630507112000,25.0,36.0,45.0,33.17
3659478-10880825,3659478-10880825-1,1630507113000,25.0,36.0,45.0,38.25
3659478-10880825,3659478-10880825-1,1630507114000,25.0,36.0,45.0,42.62
3659478-10880825,3659478-10880825-1,1630507115000,25.0,36.0,46.0,45.59
3659478-10880825,3659478-10880825-1,1630507116000,25.0,36.0,46.0,45.38
3659478-10880825,3659478-10880825-1,1630507117000,25.0,36.0,46.0,45.2
3659478-10880825,3659478-10880825-1,1630507118000,25.0,36.0,46.0,45.71
3659478-10880825,3659478-10880825-1,1630507119000,25.0,36.0,46.0,46.21
3659478-10880825,3659478-10880825-1,1630507120000,25.0,36.0,46.0,46.71
3659478-10880825,3659478-10880825-1,1630507121000,25.0,36.0,46.0,47.09
3659478-10880825,3659478-10880825-1,1630507122000,25.0,36.0,46.0,47.5
3659478-10880825,3659478-10880825-1,1630507123000,25.0,36.0,46.0,47.93
3659478-10880825,3659478-10880825-1,1630507124000,25.0,36.0,46.0,48.12
3659478-10880825,3659478-10880825-1,1630507125000,25.0,36.0,46.0,46.9
3659478-10880825,3659478-10880825-1,1630507126000,25.0,36.0,46.0,45.49
3659478-10880825,3659478-10880825-1,1630507127000,25.0,36.0,46.0,44.42
3659478-10880825,3659478-10880825-1,1630507128000,25.0,36.0,46.0,43.55
3659478-10880825,3659478-10880825-1,1630507129000,25.0,36.0,46.0,42.96
3659478-10880825,3659478-10880825-1,1630507130000,25.0,36.0,46.0,42.56
3659478-10880825,3659478-10880825-1,1630507131000,25.0,36.0,46.0,40.76
